Dates,Open Price,High Price,Low Price,Close Price
20-07-1983,164.89,169.29,164.89,169.29
21-07-1983,169.29,169.8,168.33,169.06
22-07-1983,168.51,169.08,168.4,168.89
25-07-1983,167.67,169.74,167.63,169.53
26-07-1983,169.62,170.63,169.26,170.35
27-07-1983,170.68,170.72,167.49,167.59
28-07-1983,167.32,167.79,164.99,165.04
29-07-1983,165.03,165.03,161.5,162.56
01-08-1983,162.34,162.78,161.55,162.04
02-08-1983,162.06,163.04,161.97,162.01
03-08-1983,162.01,163.44,161.52,163.44
04-08-1983,163.28,163.42,159.63,161.33
05-08-1983,161.33,161.88,160.89,161.74
08-08-1983,161.73,161.73,159.18,159.18
09-08-1983,159.2,160.14,158.5,160.13
10-08-1983,160.11,161.77,159.47,161.54
11-08-1983,161.55,162.14,161.41,161.55
12-08-1983,161.55,162.6,161.55,162.16
15-08-1983,162.22,164.76,162.22,163.71
16-08-1983,163.74,164.75,161.76,163.41
17-08-1983,163.58,165.4,163.43,165.29
18-08-1983,165.29,165.8,163.55,163.55
19-08-1983,163.58,164.27,163.22,163.98
22-08-1983,164.18,165.64,163.77,164.34
23-08-1983,164.33,164.33,162.54,162.77
24-08-1983,162.77,162.77,161.2,161.25
25-08-1983,161.27,161.28,159.96,160.84
26-08-1983,160.85,162.96,159.62,162.14
29-08-1983,162.14,162.32,160.97,162.25
30-08-1983,162.25,163.13,162.25,162.58
31-08-1983,162.55,164.4,162.32,164.4
01-09-1983,164.4,164.66,163.95,164.23
02-09-1983,164.25,165.07,164.21,165
06-09-1983,165.2,167.9,165.03,167.89
07-09-1983,167.9,168.48,167.46,167.96
08-09-1983,167.96,168.14,167.12,167.77
09-09-1983,167.77,167.77,166.91,166.92
12-09-1983,166.95,169.2,165.27,165.48
13-09-1983,165.48,165.48,164.17,164.8
14-09-1983,164.8,165.42,164.63,165.36
15-09-1983,165.39,165.58,164.38,164.38
16-09-1983,164.42,166.57,164.39,166.24
19-09-1983,166.27,168.09,166.26,167.62
20-09-1983,167.64,170.43,167.38,169.25
21-09-1983,169.27,169.3,168.21,168.41
22-09-1983,168.4,169.78,168.22,169.76
23-09-1983,169.76,170.17,168.88,169.51
26-09-1983,169.53,170.41,169.16,170.07
27-09-1983,170.02,170.02,167.95,168.43
28-09-1983,168.42,168.53,167.52,168.01
29-09-1983,168.02,168.35,167.23,167.23
30-09-1983,167.23,167.23,165.63,166.07
03-10-1983,165.99,166.07,164.93,165.8
04-10-1983,165.81,166.8,165.81,166.27
05-10-1983,166.29,167.74,165.92,167.74
06-10-1983,167.76,170.28,167.76,170.28
07-10-1983,170.32,171.1,170.31,170.8
10-10-1983,170.77,172.65,170.05,172.65
11-10-1983,172.59,172.59,170.34,170.34
12-10-1983,170.34,170.84,169.34,169.63
13-10-1983,169.63,170.12,169.13,169.88
14-10-1983,169.88,169.99,169.18,169.86
17-10-1983,169.85,171.18,169.63,170.43
18-10-1983,170.41,170.41,167.67,167.81
19-10-1983,167.81,167.81,165.67,166.73
20-10-1983,166.77,167.35,166.44,166.98
21-10-1983,166.97,167.23,164.98,165.95
24-10-1983,165.85,165.99,163.85,165.99
25-10-1983,166,167.15,166,166.47
26-10-1983,166.49,166.65,165.36,165.38
27-10-1983,165.31,165.38,164.41,164.84
28-10-1983,164.89,165.19,163.23,163.37
31-10-1983,163.37,164.58,162.86,163.55
01-11-1983,163.55,163.66,162.37,163.64
02-11-1983,165.21,165.21,163.55,164.84
03-11-1983,164.84,164.85,163.42,163.45
04-11-1983,162.68,163.42,162.22,162.44
07-11-1983,162.42,162.56,161.84,161.91
08-11-1983,161.91,162.15,161.63,161.76
09-11-1983,161.74,163.98,161.74,163.97
10-11-1983,163.99,164.71,163.97,164.41
11-11-1983,164.41,166.29,164.34,166.29
14-11-1983,166.29,167.58,166.27,166.58
15-11-1983,166.58,166.59,165.28,165.36
16-11-1983,165.36,166.41,165.34,166.08
17-11-1983,166.08,166.49,165.51,166.13
18-11-1983,166.08,166.13,164.5,165.09
21-11-1983,165.04,166.05,165,166.05
22-11-1983,166.05,167.26,166.05,166.84
23-11-1983,166.88,167.21,166.26,166.96
25-11-1983,167.02,168.04,165.95,167.18
28-11-1983,167.2,167.22,166.21,166.54
29-11-1983,166.54,167.92,166.17,167.91
30-11-1983,167.91,168.07,166.33,166.4
01-12-1983,166.37,166.77,166.08,166.49
02-12-1983,166.49,166.7,165.25,165.44
05-12-1983,165.44,165.79,164.71,165.77
06-12-1983,165.77,165.93,165.34,165.47
